user_id,video_id,event,timestamp,video_duration,device,country,age
1,8,play,0,442,Tablet,Italy,19
1,8,seek,55,442,Tablet,Italy,19
1,8,pause,294,442,Tablet,Italy,19
1,8,seek,365,442,Tablet,Italy,19
1,8,stop,375,442,Tablet,Italy,19
2,11,play,0,992,Mobile,Morocco,31
2,11,pause,269,992,Mobile,Morocco,31
2,11,stop,716,992,Mobile,Morocco,31
3,4,play,0,1059,Mobile,Spain,47
3,4,pause,248,1059,Mobile,Spain,47
3,4,seek,308,1059,Mobile,Spain,47
3,4,seek,557,1059,Mobile,Spain,47
3,4,pause,666,1059,Mobile,Spain,47
3,4,pause,738,1059,Mobile,Spain,47
3,4,seek,802,1059,Mobile,Spain,47
3,4,stop,931,1059,Mobile,Spain,47
4,11,play,0,992,Desktop,Germany,43
4,11,pause,125,992,Desktop,Germany,43
4,11,seek,395,992,Desktop,Germany,43
4,11,pause,523,992,Desktop,Germany,43
4,11,seek,583,992,Desktop,Germany,43
4,11,complete,992,992,Desktop,Germany,43
5,11,play,0,992,Desktop,Spain,45
5,11,seek,200,992,Desktop,Spain,45
5,11,pause,278,992,Desktop,Spain,45
5,11,seek,430,992,Desktop,Spain,45
5,11,seek,498,992,Desktop,Spain,45
5,11,pause,645,992,Desktop,Spain,45
5,11,stop,697,992,Desktop,Spain,45
6,12,play,0,1058,Mobile,Morocco,21
6,12,pause,115,1058,Mobile,Morocco,21
6,12,stop,743,1058,Mobile,Morocco,21
7,17,play,0,332,Mobile,France,33
7,17,pause,34,332,Mobile,France,33
7,17,pause,109,332,Mobile,France,33
7,17,pause,169,332,Mobile,France,33
7,17,complete,332,332,Mobile,France,33
8,16,play,0,732,Desktop,Italy,26
8,16,pause,254,732,Desktop,Italy,26
8,16,pause,413,732,Desktop,Italy,26
8,16,pause,500,732,Desktop,Italy,26
8,16,pause,641,732,Desktop,Italy,26
8,16,stop,661,732,Desktop,Italy,26
9,7,play,0,528,Tablet,Germany,26
9,7,seek,47,528,Tablet,Germany,26
9,7,pause,175,528,Tablet,Germany,26
9,7,pause,301,528,Tablet,Germany,26
9,7,stop,346,528,Tablet,Germany,26
10,18,play,0,330,Desktop,France,33
